disease,medication
Hypoxia Brain,"Bevacizumab, Fulvestrant, Corticotropin, Carfilzomib, Epoetin Alfa, Enalapril Maleate, "
Intracranial Hypertension,"Clobetasol Propionate, Captopril, Bevacizumab, Prednisolone Acetate, "
Hypertensive Encephalopathy,"Lenalidomide, Naproxen Esomeprazole Mag, "
Posterior Leukoencephalopathy Syndrome,"Emtricitabine Tenofovir, Adalimumab, Enalapril Maleate, Sirolimus, Abatacept Abatacept Maltose, "
Pseudotumor Cerebri,"Sitagliptin Phosphate, Ibrutinib, Enzalutamide, Bexarotene, Esomeprazole Magnesium, Alteplase, "
Subdural Effusion,"Memantine HCl, Adalimumab, "
Gerstmann-Straussler-Scheinker Disease,"Immun Glob G(IGG) Malt Iga 50+, Methylprednisolone Acetate (40 mg), Metformin HCl, "
Angelman Syndrome,"Ambrisentan, Dimethyl Fumarate, Divalproex Sodium, Thyrotropin Alfa, "
Dyskinesias,"Epoetin Alfa, Methylprednisolone Acetate (40 mg), Immun Glob G(IGG) Pro Iga 0-50, Clomipramine HCL, "
Chorea,"Infliximab, Alteplase, Immun Glob G(IGG) Malt Iga 50+, "
Dyskinesia Drug-Induced,"Aflibercept, Aripiprazole, Certolizumab Pegol, "
Tic Disorders,"Alteplase, Fluticasone Salmeterol, Epoetin alfa, "
Ocular Motility Disorders,"Pregabalin, Gemcitabine HCl, "
Spinal Cord Injuries,"Epoetin alfa, Glucagon,human Recombinant, "
Spinal Cord Ischemia,"Rosuvastatin Calcium, Corticotropin, Denosumab, Ipilimumab, "
Abducens Nerve Diseases,"Carfilzomib, Etanercept, "
Facial Nerve Diseases,"Darunavir Ethanolate, Chlorpromazine HCl, Immun Glob G (IGG) Gly Iga 50+, Albuterol Sulfate, Rituximab, Fluticasone Salmeterol, "
Nystagmus Pathologic,"Memantine HCl, Daptomycin, Econazole Nitrate, Glatiramer Acetate, Thyrotropin Alfa, Etanercept, "
Ophthalmoplegia,"Digoxin, Epoetin Alfa, Omalizumab, Sipuleucel-T Lactated Ringers, Azacitidine, "
Optic Nerve Diseases,"Esomeprazole Magnesium, Econazole Nitrate, "
Optic Atrophy,"Teriparatide, Trastuzumab, Aflibercept, "
Optic Neuritis,"Ranibizumab, Diclofenac Sodium, Pegfilgrastim, "
Papilledema,"Adalimumab, Treprostinil Sodium, Imatinib Mesylate, Diclofenac Sodium, Captopril, Abiraterone Acetate, "
Nervous System Malformations,"Epoetin Alfa, Etanercept, Methylprednisolone Acetate (80 mg), Octreotide Acetate,mi-Spheres, Everolimus, "
Central Nervous System Vascular Malformations,"Imatinib Mesylate, Duloxetine HCl, "
Malformations of Cortical Development,"Pemetrexed Disodium, Simeprevir Sodium, Sipuleucel-T Lactated Ringers, Sofosbuvir, Fulvestrant, Glatiramer Acetate, "
Anencephaly,"Esomeprazole Magnesium, Prednisolone Acetate, "
Arnold-Chiari Malformation,"Darunavir Ethanolate, Esomeprazole Magnesium, Abatacept Abatacept Maltose, Rivaroxaban, "
Encephalocele,"Everolimus, Cyclophosphamide, Azacitidine, Capecitabine, "
Meningocele,"Octreotide Acetate, Doxazosin Mesylate, Pemetrexed Disodium, Trastuzumab, Bevacizumab, Esomeprazole Magnesium, "
Meningomyelocele,"Cyclophosphamide, Treprostinil Sodium, Insulin Glargine,Hum.Rec.Anlog, Epoetin Alfa, Dimethyl Fumarate, Daptomycin, "
Spina Bifida Occulta,"Rivaroxaban, Ursodiol, Carfilzomib, "
Neuronal Ceroid-Lipofuscinoses,"Bendamustine HCl, Trastuzumab, "
Cerebrospinal Fluid Rhinorrhea,"Duloxetine HCl, Pneumococcal 13-Valent Vaccine, Fluticasone Salmeterol, Glucagon,human Recombinant, "
Decerebrate State,"Clobetasol Propionate, Azacitidine, Digoxin, Propranolol HCl, Epoetin alfa, Rivaroxaban, "
Athetosis,"Denosumab, Trastuzumab, "
Catalepsy,"Enalapril Maleate, Divalproex Sodium, Emtricitabine Tenofovir, Immun Glob G(IGG) Malt Iga 50+, Ambrisentan, "
Dystonia,"Pemetrexed Disodium, Abiraterone Acetate, Captopril, Methylprednisolone Acetate (80 mg), Octreotide Acetate, "
Hyperkinesis,"Aripiprazole, Epoetin Alfa, Omalizumab, "
Psychomotor Agitation,"Formoterol Fumarate, Bosentan, "
Tremor,"Albuterol Sulfate, Paclitaxel Protein-Bound, Formoterol Fumarate, Efavirenz Emtricitab Tenofovir, Ibrutinib, Simeprevir Sodium, "
Meningism,"Cetuximab, Sirolimus, "
Speech Disorders,"Thyrotropin Alfa, Natalizumab, Bupropion HCl, Aflibercept, "
Dysarthria,"Darunavir Ethanolate, Sipuleucel-T Lactated Ringers, "
Mutism,"Digoxin, Bevacizumab, "
Confusion,"Ibrutinib, Bexarotene, "
Coma,"Rituximab, Clomipramine HCL, "
Lethargy,"Darunavir Ethanolate, Erlotinib HCl, Rituximab, Pegfilgrastim, Trastuzumab, "
Amnesia Retrograde,"Memantine HCl, Esomeprazole Magnesium, "
Fragile X Syndrome,"Duloxetine HCl, Bendamustine HCl, Etanercept, Ambrisentan, "
Prader-Willi Syndrome,"Rivaroxaban, Alteplase, Pregabalin, "
Neurogenic Inflammation,"Bortezomib, Dimethyl Fumarate, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Treprostinil Sodium, Alteplase, Enzalutamide, "
Fasciculation,"Infliximab, Teriparatide, Bendamustine HCl, "
Muscle Hypertonia,"Propranolol HCl, Immun Glob G(IGG) Pro Iga 0-50, Octreotide Acetate, "
Myotonia,"Bendamustine HCl, Etanercept, Pemetrexed Disodium, "
Trismus,"Enzalutamide, Albuterol Sulfate, "
Low Back Pain,"Divalproex Sodium, Captopril, "
Facial Pain,"Lenalidomide, Alteplase, Infliximab, Emtricitabine Tenofovir, "
Paraplegia,"Rivaroxaban, Enalapril Maleate, Naproxen Esomeprazole Mag, Dimethyl Fumarate, Ursodiol, "
Quadriplegia,"Certolizumab Pegol, Econazole Nitrate, Simeprevir Sodium, Enalapril Maleate, Enzalutamide, Bosentan, "
Paresis,"Ibrutinib, Paliperidone Palmitate, Omalizumab, Rituximab, "
Paraparesis,"Divalproex Sodium, Adalimumab, Duloxetine HCl, "
Sensation Disorders,"Arformoterol Tartrate, Esomeprazole Magnesium, Teriparatide, Fluticasone Salmeterol, Treprostinil Sodium, Duloxetine HCl, "
Hyperalgesia,"Albuterol Sulfate, Pemetrexed Disodium, "
Photophobia,"Abiraterone Acetate, Bendamustine HCl, Erlotinib HCl, Ambrisentan, Simeprevir Sodium, Omalizumab, "
Scotoma,"Enzalutamide, Pegfilgrastim, Imatinib Mesylate, "
Urinary Bladder Neurogenic,"Abiraterone Acetate, Paliperidone Palmitate, Sipuleucel-T Lactated Ringers, "
Brachial Plexus Neuropathies,"Cyanocobalamin (Vitamin B-12), Trastuzumab, Methylprednisolone Acetate (80 mg), Econazole Nitrate, Memantine HCl, "
Sciatic Neuropathy,"Bupropion HCl, Rituximab, Enzalutamide, Natalizumab, Albuterol Sulfate, "
Nerve Compression Syndromes,"Doxazosin Mesylate, Rituximab, Pregabalin, Octreotide Acetate,mi-Spheres, "
Neuritis,"Abiraterone Acetate, Raltegravir Potassium, Rosuvastatin Calcium, Ipilimumab, Captopril, Certolizumab Pegol, "
Pain Insensitivity Congenital,"Octreotide Acetate, Erlotinib HCl, Paclitaxel Protein-Bound, Epoetin Alfa, Naproxen Esomeprazole Mag, "
Polyradiculopathy,"Chlorpromazine HCl, Paliperidone Palmitate, "
Radiculopathy,"Prednisolone Acetate, Pregabalin, Daptomycin, Econazole Nitrate, Clobetasol Propionate, "
Neurotoxicity Syndromes,"Octreotide Acetate,mi-Spheres, Sipuleucel-T Lactated Ringers, Rivaroxaban, Enalapril Maleate, Paliperidone Palmitate, "
Alcohol Amnestic Disorder,"Infliximab, Diclofenac Sodium, Tiotropium Bromide, Hydroxychloroquine Sulfate, Clobetasol Propionate, "
Sleep Deprivation,"Rosuvastatin Calcium, Naproxen Esomeprazole Mag, Ranibizumab, Formoterol Fumarate, "
Cataplexy,"Certolizumab Pegol, Alteplase, Pregabalin, "
REM Sleep Behavior Disorder,"Fluticasone Salmeterol, Teriparatide, Rituximab, Esomeprazole Magnesium, "
Somnambulism,"Efavirenz Emtricitab Tenofovir, Hydroxychloroquine Sulfate, "
Skull Fractures,"Aminolevulinic Acid HCl, Immun Glob G(IGG) Pro Iga 0-50, "
Keratoconjunctivitis,"Rivaroxaban, Methylprednisolone Acetate (80 mg), "
Pemphigoid Benign Mucous Membrane,"Dimethyl Fumarate, Bendamustine HCl, Etanercept, Ibrutinib, Prednisolone Acetate, Azacitidine, "
Xerophthalmia,"Sitagliptin Phosphate, Thyrotropin Alfa, Memantine HCl, Abatacept Abatacept Maltose, Metformin HCl, "
Corneal Diseases,"Methylprednisolone Acetate (80 mg), Denosumab, Infliximab, Tiotropium Bromide, "
Corneal Edema,"Arformoterol Tartrate, Alteplase, Etanercept, Prednisolone Acetate, Carfilzomib, "
Keratoconus,"Azacitidine, Ibrutinib, Octreotide Acetate,mi-Spheres, "
Microphthalmos,"Emtricitabine Tenofovir, Ibrutinib, "
Retinal Hemorrhage,"Darbepoetin Alfa In Polysorbat, Octreotide Acetate,mi-Spheres, Formoterol Fumarate, Ambrisentan, Propranolol HCl, Gemcitabine HCl, "
Eyelid Diseases,"Tiotropium Bromide, Raltegravir Potassium, Darbepoetin Alfa In Polysorbat, Pneumococcal 13-Valent Vaccine, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Lacrimal Apparatus Diseases,"Sipuleucel-T Lactated Ringers, Adalimumab, Bevacizumab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Orbital Diseases,"Sirolimus, Captopril, Cyclophosphamide, Chlorpromazine HCl, "
Exophthalmos,"Epoetin Alfa, Immun Glob G(IGG) Pro Iga 0-50, Clobetasol Propionate, "
Orbital Cellulitis,"Aminolevulinic Acid HCl, Captopril, Duloxetine HCl, Clomipramine HCL, Teriparatide, "
Mydriasis,"Lenalidomide, Ledipasvir Sofosbuvir, Octreotide Acetate,mi-Spheres, Glatiramer Acetate, Certolizumab Pegol, "
Macular Degeneration,"Naproxen Esomeprazole Mag, Omalizumab, Infliximab, "
Retinal Vasculitis,"Formoterol Fumarate, Digoxin, Carbamazepine, Glucagon,human Recombinant, "
Retinitis,"Everolimus, Duloxetine HCl, "
Retinal Necrosis Syndrome Acute,"Cetuximab, Immun Glob G (IGG) Gly Iga 50+, Cyclophosphamide, "
Scleral Diseases,"Efavirenz Emtricitab Tenofovir, Infliximab, "
Choroid Diseases,"Hydroxychloroquine Sulfate, Bortezomib, "
Choroiditis,"Enalapril Maleate, Darunavir Ethanolate, "
Panuveitis,"Abiraterone Acetate, Divalproex Sodium, Sofosbuvir, "
Uveitis Anterior,"Pneumococcal 13-Valent Vaccine, Trastuzumab, "
Uveitis Posterior,"Aripiprazole, Bosentan, Efavirenz Emtricitab Tenofovir, Ledipasvir Sofosbuvir, "
Genital Diseases Male,"Immun Glob G (IGG) Gly Iga 50+, Bupropion HCl, "
Penile Diseases,"Sipuleucel-T Lactated Ringers, Clomipramine HCL, Ibrutinib, Etanercept, "
Prostatic Diseases,"Carbamazepine, Darbepoetin Alfa In Polysorbat, Aripiprazole, Pneumococcal 13-Valent Vaccine, Albuterol Sulfate, Cyanocobalamin (Vitamin B-12), "
Erectile Dysfunction,"Efavirenz Emtricitab Tenofovir, Raltegravir Potassium, Immun Glob G(IGG) Malt Iga 50+, Ursodiol, "
Spermatic Cord Torsion,"Thyrotropin Alfa, Arformoterol Tartrate, Ledipasvir Sofosbuvir, Bevacizumab, Esomeprazole Magnesium, "
Testicular Diseases,"Ursodiol, Treprostinil Sodium, Octreotide Acetate,mi-Spheres, Digoxin, "
Orchitis,"Bendamustine HCl, Esomeprazole Magnesium, Octreotide Acetate,mi-Spheres, Immun Glob G(IGG) Malt Iga 50+, "
Disorders of Sex Development,"Corticotropin, Darunavir Ethanolate, Sitagliptin Phosphate, "
Gonadal Dysgenesis,"Glucagon,human Recombinant, Naproxen Esomeprazole Mag, Rituximab, Ranibizumab, "
Turner Syndrome,"Chlorpromazine HCl, Ursodiol, Doxazosin Mesylate, Natalizumab, Adalimumab, Bevacizumab, "
Klinefelter Syndrome,"Epoetin Alfa, Pregabalin, Everolimus, Certolizumab Pegol, "
Urologic Diseases,"Digoxin, Denosumab, Bendamustine HCl, Aripiprazole, Pemetrexed Disodium, "
Anuria,"Alteplase, Ibrutinib, Certolizumab Pegol, Natalizumab, "
Diabetes Insipidus Nephrogenic,"Memantine HCl, Epoetin alfa, "
Diabetic Nephropathies,"Arformoterol Tartrate, Simeprevir Sodium, Octreotide Acetate, "
Hypertension Renovascular,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Bupropion HCl, Treprostinil Sodium, "
Kidney Cortex Necrosis,"Natalizumab, Methylprednisolone Acetate (40 mg), Cetuximab, Hydroxychloroquine Sulfate, Rivaroxaban, "
Kidney Diseases Cystic,"Epoetin Alfa, Cyclophosphamide, Gemcitabine HCl, Efavirenz Emtricitab Tenofovir, Denosumab, "
Polycystic Kidney Autosomal Dominant,"Cyclophosphamide, Doxazosin Mesylate, Enalapril Maleate, Alteplase, Clobetasol Propionate, "
Kidney Papillary Necrosis,"Methylprednisolone Acetate (80 mg), Darunavir Ethanolate, Fluticasone Salmeterol, "
Nephritis,"Emtricitabine Tenofovir, Naproxen Esomeprazole Mag, Aminolevulinic Acid HCl, Rosuvastatin Calcium, "
Glomerulonephritis IGA,"Clomipramine HCL, Pegfilgrastim, Natalizumab, "
Glomerulonephritis Membranoproliferative,"Diclofenac Sodium, Rituximab, Ursodiol, "
Glomerulonephritis Membranous,"Teriparatide, Natalizumab, Duloxetine HCl, Darunavir Ethanolate, Propranolol HCl, "
Glomerulosclerosis Focal Segmental,"Ambrisentan, Bortezomib, Imatinib Mesylate, Rosuvastatin Calcium, "
Lupus Nephritis,"Sofosbuvir, Chlorpromazine HCl, Aflibercept, Azacitidine, "
Pyelonephritis Xanthogranulomatous,"Darunavir Ethanolate, Immun Glob G(IGG) Malt Iga 50+, "
Pyelitis,"Infliximab, Efavirenz Emtricitab Tenofovir, Paclitaxel Protein-Bound, Pemetrexed Disodium, "
Kidney Calculi,"Erlotinib HCl, Darbepoetin Alfa In Polysorbat, Bendamustine HCl, "
Nephrosis Lipoid,"Ibrutinib, Albuterol Sulfate, Duloxetine HCl, Ursodiol, Carfilzomib, "
Nephrotic Syndrome,"Cyclophosphamide, Ledipasvir Sofosbuvir, Dimethyl Fumarate, Arformoterol Tartrate, "
Perinephritis,"Divalproex Sodium, Simeprevir Sodium, Duloxetine HCl, "
Renal Artery Obstruction,"Enalapril Maleate, Metformin HCl, Carfilzomib, Capecitabine, "
Renal Insufficiency,"Corticotropin, Abatacept Abatacept Maltose, Capecitabine, "
Kidney Tubular Necrosis Acute,"Ranibizumab, Aflibercept, Thyrotropin Alfa, Sofosbuvir, "
Acidosis Renal Tubular,"Sipuleucel-T Lactated Ringers, Methylprednisolone Acetate (80 mg), Pegfilgrastim, Enalapril Maleate, "
Renal Aminoacidurias,"Chlorpromazine HCl, Rituximab, Rosuvastatin Calcium, Doxazosin Mesylate, Trastuzumab, Immun Glob G(IGG) Pro Iga 0-50, "
Cystinuria,"Treprostinil Sodium, Octreotide Acetate,mi-Spheres, Bortezomib, "
Hemolytic-Uremic Syndrome,"Octreotide Acetate, Bupropion HCl, "
Ureteral Obstruction,"Methylprednisolone Acetate (80 mg), Thyrotropin Alfa, Adalimumab, Paliperidone Palmitate, "
Ureterocele,"Paclitaxel Protein-Bound, Econazole Nitrate, Dimethyl Fumarate, Rivaroxaban, Cyanocobalamin (Vitamin B-12), Cetuximab, "
Ureteral Calculi,"Pemetrexed Disodium, Arformoterol Tartrate, "
Urethral Diseases,"Everolimus, Aflibercept, Erlotinib HCl, "
Urethral Obstruction,"Propranolol HCl, Clobetasol Propionate, "
Urinary Bladder Neck Obstruction,"Octreotide Acetate, Aflibercept, Methylprednisolone Acetate (80 mg), "
Urinary Bladder Diseases,"Immun Glob G(IGG) Malt Iga 50+, Natalizumab, Carbamazepine, Arformoterol Tartrate, "
Vesico-Ureteral Reflux,"Etanercept, Formoterol Fumarate, "
Urination Disorders,"Immun Glob G (IGG) Gly Iga 50+, Etanercept, "
Hematuria,"Mitomycin, Treprostinil Sodium, Thyrotropin Alfa, Econazole Nitrate, Pegfilgrastim, Certolizumab Pegol, "
Oliguria,"Natalizumab, Enzalutamide, Cetuximab, Darunavir Ethanolate, Rosuvastatin Calcium, "
Polyuria,"Cetuximab, Rituximab, Abatacept Abatacept Maltose, "
Albuminuria,"Bevacizumab, Efavirenz Emtricitab Tenofovir, Capecitabine, Abiraterone Acetate, Albuterol Sulfate, Alteplase, "
Hemoglobinuria,"Chlorpromazine HCl, Bosentan, Esomeprazole Magnesium, "
Urinary Incontinence,"Natalizumab, Darbepoetin Alfa In Polysorbat, Glucagon,human Recombinant, Corticotropin, Infliximab, Bortezomib, "
Urinary Retention,"Metformin HCl, Carfilzomib, Digoxin, Diclofenac Sodium, "
Urolithiasis,"Sofosbuvir, Raltegravir Potassium, Bupropion HCl, Econazole Nitrate, Aminolevulinic Acid HCl, Dimethyl Fumarate, "
Urinary Calculi,"Immun Glob G (IGG) Gly Iga 50+, Infliximab, "
Genital Diseases Female,"Certolizumab Pegol, Cetuximab, "
Adnexal Diseases,"Azacitidine, Sofosbuvir, Corticotropin, Bevacizumab, "
Fallopian Tube Diseases,"Dimethyl Fumarate, Formoterol Fumarate, Immun Glob G (IGG) Gly Iga 50+, Bosentan, Gemcitabine HCl, "
Salpingitis,"Etanercept, Trastuzumab, Immun Glob G(IGG) Malt Iga 50+, Abatacept Abatacept Maltose, Darbepoetin Alfa In Polysorbat, "
Ovarian Diseases,"Daptomycin, Abatacept Abatacept Maltose, Ursodiol, Immun Glob G(IGG) Pro Iga 0-50, "
Oophoritis,"Bosentan, Capecitabine, Enalapril Maleate, Digoxin, Dimethyl Fumarate, Glatiramer Acetate, "
Ovarian Hyperstimulation Syndrome,"Immun Glob G (IGG) Gly Iga 50+, Rosuvastatin Calcium, Glatiramer Acetate, "
Endometritis,"Epoetin Alfa, Aminolevulinic Acid HCl, Econazole Nitrate, Pneumococcal 13-Valent Vaccine, "
Infertility Female,"Sirolimus, Tiotropium Bromide, Everolimus, "
Uterine Diseases,"Thyrotropin Alfa, Epoetin alfa, "
Pyometra,"Adalimumab, Natalizumab, Ambrisentan, Digoxin, "
Uterine Cervical Diseases,"Capecitabine, Efavirenz Emtricitab Tenofovir, "
Uterine Rupture,"Infliximab, Adalimumab, Sipuleucel-T Lactated Ringers, "
Uterine Perforation,"Carbamazepine, Epoetin Alfa, "
Vaginal Diseases,"Omalizumab, Fulvestrant, Sofosbuvir, Pneumococcal 13-Valent Vaccine, Aflibercept, Etanercept, "
Vaginal Discharge,"Tiotropium Bromide, Omalizumab, Ipilimumab, Corticotropin, Gemcitabine HCl, "
Vulvar Diseases,"Thyrotropin Alfa, Duloxetine HCl, "
Pruritus Vulvae,"Digoxin, Certolizumab Pegol, Ambrisentan, Methylprednisolone Acetate (40 mg), Erlotinib HCl, Clobetasol Propionate, "
Abortion Spontaneous,"Naproxen Esomeprazole Mag, Divalproex Sodium, Bevacizumab, Albuterol Sulfate, Digoxin, Gemcitabine HCl, "
Abortion Missed,"Infliximab, Simeprevir Sodium, "
Abortion Veterinary,"Paliperidone Palmitate, Aflibercept, Mitomycin, "
Embryo Loss,"Ledipasvir Sofosbuvir, Bortezomib, Insulin Glargine,Hum.Rec.Anlog, Denosumab, "
Diabetes Gestational,"Formoterol Fumarate, Erlotinib HCl, Immun Glob G(IGG) Pro Iga 0-50, "
Fetal Death,"Bupropion HCl, Bexarotene, Doxazosin Mesylate, Pemetrexed Disodium, Aflibercept, "
Fetal Resorption,"Cyclophosphamide, Aripiprazole, Certolizumab Pegol, Raltegravir Potassium, "
Chorioamnionitis,"Darunavir Ethanolate, Abatacept Abatacept Maltose, Ambrisentan, Bexarotene, "
Erythroblastosis Fetal,"Ursodiol, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Clomipramine HCL, Efavirenz Emtricitab Tenofovir, Divalproex Sodium, Cyanocobalamin (Vitamin B-12), "
Fetal Alcohol Syndrome,"Cyanocobalamin (Vitamin B-12), Pemetrexed Disodium, Teriparatide, Rituximab, Lenalidomide, "
Fetal Growth Retardation,"Sirolimus, Mitomycin, Alteplase, Gemcitabine HCl, "
Eclampsia,"Ledipasvir Sofosbuvir, Trastuzumab, Carfilzomib, Chlorpromazine HCl, Corticotropin, "
Pre-Eclampsia,"Ambrisentan, Fluticasone Salmeterol, "
Obstetric Labor Complications,"Etanercept, Hydroxychloroquine Sulfate, "
Fetal Membranes Premature Rupture,"Alteplase, Albuterol Sulfate, Propranolol HCl, Cyanocobalamin (Vitamin B-12), Cetuximab, "
Obstetric Labor Premature,"Propranolol HCl, Digoxin, Natalizumab, "
Placenta Accreta,"Sipuleucel-T Lactated Ringers, Corticotropin, Omalizumab, Bosentan, Efavirenz Emtricitab Tenofovir, Teriparatide, "
Placenta Previa,"Bevacizumab, Trastuzumab, "
Placenta Retained,"Rivaroxaban, Metformin HCl, Duloxetine HCl, Pneumococcal 13-Valent Vaccine, "
Embolism Amniotic Fluid,"Dimethyl Fumarate, Denosumab, Duloxetine HCl, Emtricitabine Tenofovir, Ranibizumab, Carbamazepine, "
Pregnancy in Diabetics,"Clomipramine HCL, Carfilzomib, "
Pregnancy Ectopic,"Esomeprazole Magnesium, Simeprevir Sodium, "
Pregnancy Abdominal,"Ambrisentan, Denosumab, Etanercept, Rituximab, Daptomycin, Sipuleucel-T Lactated Ringers, "
Prenatal Exposure Delayed Effects,"Chlorpromazine HCl, Bortezomib, "
Mastitis,"Methylprednisolone Acetate (40 mg), Enalapril Maleate, Doxazosin Mesylate, "
Cardiovascular Abnormalities,"Octreotide Acetate,mi-Spheres, Corticotropin, "
Aortic Coarctation,"Rivaroxaban, Aflibercept, Adalimumab, Bexarotene, Methylprednisolone Acetate (80 mg), "
Cor Triatriatum,"Glatiramer Acetate, Lenalidomide, Clobetasol Propionate, Teriparatide, "
Coronary Vessel Anomalies,"Darunavir Ethanolate, Fulvestrant, Natalizumab, "
Eisenmenger Complex,"Azacitidine, Efavirenz Emtricitab Tenofovir, "
Heart Septal Defects Ventricular,"Propranolol HCl, Rituximab, Methylprednisolone Acetate (40 mg), Glucagon,human Recombinant, Epoetin alfa, Bexarotene, "
Tetralogy of Fallot,"Omalizumab, Chlorpromazine HCl, Emtricitabine Tenofovir, Etanercept, Bortezomib, "
Vascular Malformations,"Propranolol HCl, Lenalidomide, Aflibercept, Tiotropium Bromide, Emtricitabine Tenofovir, Ranibizumab, "
Arteriovenous Malformations,"Pregabalin, Epoetin Alfa, Bortezomib, "
Arteriovenous Fistula,"Dimethyl Fumarate, Daptomycin, Esomeprazole Magnesium, Efavirenz Emtricitab Tenofovir, "
Vascular Fistula,"Bexarotene, Emtricitabine Tenofovir, Immun Glob G(IGG) Malt Iga 50+, Aflibercept, "
Brugada Syndrome,"Alteplase, Certolizumab Pegol, Insulin Glargine,Hum.Rec.Anlog, Aflibercept, "
Ventricular Premature Complexes,"Capecitabine, Arformoterol Tartrate, Bosentan, Clomipramine HCL, Esomeprazole Magnesium, Immun Glob G(IGG) Pro Iga 0-50, "
Heart Block,"Bupropion HCl, Infliximab, Sirolimus, Epoetin Alfa, "
Long QT Syndrome,"Trastuzumab, Immun Glob G (IGG) Gly Iga 50+, Imatinib Mesylate, Bexarotene, Adalimumab, Gemcitabine HCl, "
Wolff-Parkinson-White Syndrome,"Duloxetine HCl, Corticotropin, Mitomycin, "
Tachycardia Paroxysmal,"Infliximab, Treprostinil Sodium, Digoxin, "
Tachycardia Sinus,"Ambrisentan, Clobetasol Propionate, Infliximab, Glucagon,human Recombinant, Methylprednisolone Acetate (40 mg), Gemcitabine HCl, "
Tachycardia Ventricular,"Paliperidone Palmitate, Hydroxychloroquine Sulfate, Methylprednisolone Acetate (80 mg), Capecitabine, Captopril, "
Torsades de Pointes,"Doxazosin Mesylate, Aripiprazole, Gemcitabine HCl, Sipuleucel-T Lactated Ringers, Bortezomib, "
Ventricular Fibrillation,"Clomipramine HCL, Alteplase, Methylprednisolone Acetate (40 mg), Infliximab, "
Cardiac Output Low,"Abatacept Abatacept Maltose, Ipilimumab, Teriparatide, Bendamustine HCl, Mitomycin, "
Cardiac Tamponade,"Tiotropium Bromide, Ursodiol, Certolizumab Pegol, Aflibercept, Ranibizumab, "
Cardiomyopathy Dilated,"Gemcitabine HCl, Erlotinib HCl, Treprostinil Sodium, Etanercept, "
Hypertrophy Left Ventricular,"Memantine HCl, Divalproex Sodium, Pneumococcal 13-Valent Vaccine, Omalizumab, Pegfilgrastim, "
Cardiomyopathy Hypertrophic,"Alteplase, Aflibercept, Propranolol HCl, Lenalidomide, Certolizumab Pegol, Cyanocobalamin (Vitamin B-12), "
Myocardial Reperfusion Injury,"Thyrotropin Alfa, Aflibercept, Natalizumab, Trastuzumab, Darbepoetin Alfa In Polysorbat, "
Death Sudden Cardiac,"Methylprednisolone Acetate (40 mg), Rituximab, "
Heart Rupture Post-Infarction,"Abatacept Abatacept Maltose, Rosuvastatin Calcium, Denosumab, Certolizumab Pegol, Cetuximab, Rituximab, "
Ventricular Septal Rupture,"Arformoterol Tartrate, Cetuximab, Thyrotropin Alfa, Divalproex Sodium, Aminolevulinic Acid HCl, "
Heart Valve Diseases,"Raltegravir Potassium, Bosentan, Doxazosin Mesylate, Pemetrexed Disodium, "
Aortic Valve Insufficiency,"Epoetin alfa, Bendamustine HCl, "
Aortic Valve Stenosis,"Diclofenac Sodium, Carfilzomib, Sirolimus, "
Mitral Valve Insufficiency,"Cyclophosphamide, Everolimus, Imatinib Mesylate, "
Mitral Valve Stenosis,"Arformoterol Tartrate, Prednisolone Acetate, Ibrutinib, "
Pulmonary Valve Insufficiency,"Simeprevir Sodium, Certolizumab Pegol, Alteplase, Paliperidone Palmitate, Erlotinib HCl, Octreotide Acetate,mi-Spheres, "
Acute Coronary Syndrome,"Enzalutamide, Aflibercept, Imatinib Mesylate, Ambrisentan, "
Coronary Stenosis,"Octreotide Acetate, Immun Glob G(IGG) Pro Iga 0-50, Diclofenac Sodium, "
Coronary Thrombosis,"Bevacizumab, Ursodiol, Insulin Glargine,Hum.Rec.Anlog, Imatinib Mesylate, "
Shock Cardiogenic,"Infliximab, Bupropion HCl, Omalizumab, "
Pericardial Effusion,"Darbepoetin Alfa In Polysorbat, Daptomycin, Sipuleucel-T Lactated Ringers, "
Pericarditis Constrictive,"Cyclophosphamide, Immun Glob G (IGG) Gly Iga 50+, "
Postpericardiotomy Syndrome,"Bexarotene, Enzalutamide, "
Pulmonary Heart Disease,"Econazole Nitrate, Azacitidine, Doxazosin Mesylate, Paliperidone Palmitate, Omalizumab, "
Ventricular Dysfunction,"Teriparatide, Paclitaxel Protein-Bound, Rituximab, Chlorpromazine HCl, Formoterol Fumarate, "
Takotsubo Cardiomyopathy,"Pegfilgrastim, Octreotide Acetate,mi-Spheres, Epoetin Alfa, Rituximab, "
Aneurysm,"Digoxin, Cetuximab, "
Aneurysm Dissecting,"Erlotinib HCl, Fluticasone Salmeterol, Bexarotene, Infliximab, "
Aneurysm False,"Methylprednisolone Acetate (40 mg), Azacitidine, Aflibercept, Esomeprazole Magnesium, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Bexarotene, "
