disease,symptoms
Tuberculosis Hepatic,Fever Fever of Unknown Origin Body Weight Weight Loss Coma Pain Abdominal Pain Diarrhea Vomiting Jaundice Jaundice Obstructive 
Tuberculosis Laryngeal,Fever Body Weight Weight Loss Edema Speech Disorders Neck Pain Vocal Cord Paralysis Deafness Voice Disorders Aphonia Dysphonia Hoarseness Cough Dyspnea Respiratory Sounds 
Tuberculosis Lymph Node,Fever Fever of Unknown Origin Sweating Sickness Weight Loss Obesity Edema Dyskinesias Athetosis Speech Disorders Confusion Pain Back Pain Facial Paralysis Paraplegia Respiratory Paralysis Vocal Cord Paralysis Psychophysiologic Disorders Horner Syndrome Seizures Photophobia Hoarseness Oral Manifestations Abdominal Pain Abdomen Acute Anorexia Diarrhea Vomiting Hematemesis Cough Dyspnea Hemoptysis Respiratory Sounds Sneezing Skin Manifestations Jaundice Jaundice Obstructive Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic 
Tuberculosis Miliary,Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Chills Edema Eye Hemorrhage Fatigue Hypergammaglobulinemia Dystonia Tremor Gait Disorders Neurologic Aphasia Confusion Delirium Unconsciousness Coma Muscle Rigidity Spasm Pain Low Back Pain Facial Pain Headache Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Reflex Abnormal Seizures Dizziness Hearing Loss Hearing Loss Sensorineural Vision Disorders Blindness Vertigo Voice Disorders Oral Manifestations Abdominal Pain Abdomen Acute Chest Pain Angina Pectoris Anorexia Hematemesis Anoxia Cough Dyspnea Hemoptysis Hypercapnia Hyperventilation Respiratory Sounds Skin Manifestations Jaundice Jaundice Obstructive Pruritus Purpura Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Hemoglobinuria Urinary Incontinence 
Tuberculosis Multidrug-Resistant,Fever Body Weight Emaciation Cachexia Thinness Edema Muscular Atrophy Seizures Hearing Loss Hearing Loss Bilateral Arthralgia Flank Pain Diarrhea Nausea Cough Dyspnea Hemoptysis 
Tuberculosis Oral,Fever Fever of Unknown Origin Weight Loss Edema Cerebrospinal Fluid Otorrhea Trismus Facial Paralysis Voice Disorders Oral Manifestations 
Tuberculosis Osteoarticular,Fever Fever of Unknown Origin Body Weight Weight Loss Cachexia Obesity Edema Hypergammaglobulinemia Neurologic Manifestations Cerebrospinal Fluid Otorrhea Myoclonus Muscle Spasticity Muscular Atrophy Spasm Trismus Pain Back Pain Low Back Pain Headache Neck Pain Sciatica Pain Intractable Paralysis Facial Paralysis Hemiplegia Paraplegia Quadriplegia Hearing Disorders Deafness Hearing Loss Mixed Conductive-Sensorineural Diplopia Photophobia Abdominal Pain Arthralgia Shoulder Pain Chest Pain Anorexia Hemoptysis Skin Manifestations Jaundice 
Tuberculosis Pleural,Fever Fever of Unknown Origin Weight Loss Chills Neurologic Manifestations Myoclonus Syncope Pain Abdominal Pain Arthralgia Chest Pain Anorexia Vomiting Cough Dyspnea Purpura Schoenlein-Henoch Purpura Thrombocytopenic 
Tuberculosis Splenic,Fever Fever of Unknown Origin Weight Loss Obesity Coma Abdominal Pain Dyspnea Jaundice Purpura Purpura Thrombocytopenic 
Tuberculosis Urogenital,Fever Body Weight Pain Back Pain Low Back Pain Psychophysiologic Disorders Seizures Abdominal Pain Abdomen Acute Colic Pelvic Pain Jaundice Purpura Schoenlein-Henoch Purpura Thrombocytopenic Proteinuria Urinary Incontinence 
Tuberculosis Female Genital,Fever Fever of Unknown Origin Weight Loss Pain Hemiplegia Abdominal Pain Colic Flank Pain Pelvic Pain Dysmenorrhea Dysuria 
Tuberculosis Male Genital,Fever Chills Edema Back Pain Low Back Pain Paraplegia Seizures Dysuria 
Tuberculosis Renal,Fever Fever of Unknown Origin Body Weight Edema Eye Manifestations Mental Retardation Pain Back Pain Low Back Pain Headache Paralysis Paraplegia Quadriplegia Hearing Loss Sensorineural Blindness Abdomen Acute Colic Flank Pain Anorexia Jaundice Purpura Schoenlein-Henoch Dysuria Polyuria Proteinuria Albuminuria 
Nocardia Infections,Fever Fever of Unknown Origin Weight Loss Obesity Obesity Morbid Edema Fatigue Neurologic Manifestations Myoclonus Apraxias Aphasia Confusion Consciousness Disorders Mental Retardation Muscle Weakness Low Back Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Quadriplegia Vocal Cord Paralysis Paresis Seizures Vision Disorders Blindness Abdominal Pain Abdomen Acute Chest Pain Angina Pectoris Anorexia Cough Dyspnea Hemoptysis Pruritus Tinea Pedis Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Urinary Incontinence 
Mycetoma,Fever Edema Pain Headache Facial Paralysis Ophthalmoplegia Paraplegia Quadriplegia Vision Disorders Blindness Diplopia Cough Hemoptysis Tinea Pedis Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic 
Anthrax,Fever Sweating Sickness Body Weight Obesity Edema Fatigue Neurologic Manifestations Confusion Unconsciousness Pain Headache Facial Paralysis Abdominal Pain Abdomen Acute Diarrhea Nausea Vomiting Hematemesis Anoxia Dyspnea Skin Manifestations Pruritus 
Clostridium Infections,Fever Fever of Unknown Origin Body Weight Edema Coma Syncope Mental Retardation Muscular Atrophy Trismus Pain Back Pain Paralysis Hemiplegia Quadriplegia Seizures Blindness Abdominal Pain Abdomen Acute Arthralgia Chest Pain Constipation Diarrhea Diarrhea Infantile Hyperphagia Nausea Vomiting Anoxia Jaundice Jaundice Obstructive Purpura Oliguria Hemoglobinuria 
Gas Gangrene,Fever Fever of Unknown Origin Obesity Obesity Morbid Edema Hypergammaglobulinemia Consciousness Disorders Muscle Weakness Pain Back Pain Neck Pain Pain Intractable Hemiplegia Paraplegia Quadriplegia Paresis Seizures Paresthesia Abdominal Pain Abdomen Acute Colic Arthralgia Pain Postoperative Constipation Diarrhea Hematemesis Anoxia Dyspnea Jaundice Urinary Incontinence Stress 
Erysipeloid,Fever Edema Pain 
Listeriosis,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Loss Cyanosis Edema Eye Hemorrhage Fetal Distress Neurologic Manifestations Dyskinesias Ataxia Catatonia Consciousness Disorders Coma Persistent Vegetative State Mental Retardation Hallucinations Muscle Weakness Pain Low Back Pain Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Paresis Reflex Abnormal Seizures Deafness Vision Disorders Diplopia Abdominal Pain Arthralgia Anorexia Coprophagia Diarrhea Diarrhea Infantile Hematemesis Anoxia Fetal Hypoxia Apnea Skin Manifestations Jaundice Pallor Purpura Thrombocytopenic Idiopathic 
Pneumonia Staphylococcal,Fever Body Weight Hypergammaglobulinemia Neurologic Manifestations Chorea Catatonia Low Back Pain Chest Pain Dyspnea Hemoptysis Purpura Schoenlein-Henoch Waterhouse-Friderichsen Syndrome Proteinuria 
Staphylococcal Food Poisoning,Fever Hemiplegia Diarrhea Nausea Vomiting 
Staphylococcal Skin Infections,Fever Edema Hypergammaglobulinemia Pain Paraplegia Blindness Diarrhea Pruritus Purpura Urinary Incontinence 
Carbuncle,Fever Fever of Unknown Origin 
Impetigo,Fever Tetany Paralysis Pruritus Tinea Pedis Proteinuria 
Staphylococcal Scalded Skin Syndrome,Fever Birth Weight Hypergammaglobulinemia Angina Pectoris 
Streptococcal Infections,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Overweight Obesity Obesity Morbid Cardiac Output Low Cyanosis Edema Edema Cardiac Eye Manifestations Eye Pain Fatigue Heart Murmurs Hypergammaglobulinemia Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Dyskinesias Chorea Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Tics Tremor Gait Disorders Neurologic Catatonia Language Development Disorders Aphasia Aphasia Broca Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Coma Syncope Memory Disorders Amnesia Mental Retardation Perceptual Disorders Psychomotor Disorders Muscle Rigidity Muscle Spasticity Muscle Weakness Spasm Trismus Pain Back Pain Low Back Pain Facial Pain Headache Labor Pain Neck Pain Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Miosis Horner Syndrome Seizures Hearing Disorders Hearing Loss Deafness Hearing Loss Conductive Hearing Loss Mixed Conductive-Sensorineural Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Sudden Hypesthesia Vision Disorders Blindness Diplopia Hemianopsia Photophobia Scotoma Sleep Disorders Voice Disorders Hoarseness Abdominal Pain Abdomen Acute Arthralgia Shoulder Pain Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Pain Postoperative Pelvic Pain Anorexia Constipation Diarrhea Diarrhea Infantile Nausea Vomiting Anoxia Fetal Hypoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Mouth Breathing Respiratory Sounds Snoring Skin Manifestations Ecchymosis Jaundice Pruritus Tinea Pedis Purpura Purpura Fulminans Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome Oliguria Polyuria Proteinuria Albuminuria Urinary Incontinence Urinary Incontinence Stress 
Ecthyma,Fever Edema Fatigue Skin Manifestations 
Erysipelas,Fever Fever of Unknown Origin Obesity Obesity Morbid Edema Neurologic Manifestations Pain Facial Pain Paraplegia Hypesthesia Abdomen Acute Arthralgia Nausea Vomiting Ecchymosis Tinea Pedis Purpura Proteinuria 
Pneumococcal Infections,Fever Fever of Unknown Origin Hypothermia Body Weight Obesity Obesity Morbid Cardiac Output Low Cyanosis Edema Eye Manifestations Eye Hemorrhage Fatigue Heart Murmurs Hypergammaglobulinemia Cerebrospinal Fluid Rhinorrhea Confusion Muscular Atrophy Pain Back Pain Low Back Pain Headache Pain Intractable Paralysis Facial Paralysis Seizures Hearing Loss Deafness Hearing Loss Sensorineural Hearing Loss Central Vision Disorders Blindness Voice Disorders Abdominal Pain Abdomen Acute Shoulder Pain Chest Pain Diarrhea Diarrhea Infantile Nausea Vomiting Anoxia Apnea Cough Dyspnea Hemoptysis Respiratory Sounds Ecchymosis Jaundice Purpura Purpura Fulminans Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome Proteinuria 
Pneumonia Pneumococcal,Fever Hypothermia Body Weight Weight Loss Obesity Morbid Edema Heart Murmurs Hypokinesia Meningism Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Mental Retardation Hallucinations Muscle Rigidity Muscle Weakness Pain Back Pain Headache Facial Paralysis Seizures Vision Disorders Abdominal Pain Abdomen Acute Chest Pain Diarrhea Nausea Anoxia Cough Dyspnea Hyperventilation Jaundice Purpura Purpura Schoenlein-Henoch Purpura Thrombotic Thrombocytopenic Oliguria Proteinuria 
Scarlet Fever,Fever Edema Chorea Deafness Angina Pectoris Skin Manifestations Jaundice Jaundice Obstructive Purpura Proteinuria 
Pneumonia Bacterial,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Gain Weight Loss Cachexia Obesity Thinness Cyanosis Edema Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Memory Disorders Mental Retardation Hallucinations Muscle Rigidity Pain Back Pain Low Back Pain Headache Neuralgia Facial Paralysis Paraplegia Quadriplegia Respiratory Paralysis Reflex Abnormal Seizures Dizziness Hearing Disorders Hearing Loss Sensorineural Blindness Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Colic Arthralgia Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Anorexia Constipation Diarrhea Dyspepsia Nausea Vomiting Anoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Respiratory Aspiration Respiratory Sounds Snoring Jaundice Purpura Schoenlein-Henoch Purpura Thrombocytopenic 
Skin Diseases Bacterial,Fever Fever of Unknown Origin Hypothermia Obesity Edema Fatigue Cerebellar Ataxia Spasm Pain Headache Facial Paralysis Quadriplegia Seizures Dizziness Deafness Arthralgia Diarrhea Nausea Vomiting Anoxia Pruritus Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic 
Fasciitis Necrotizing,Fever Fever of Unknown Origin Obesity Obesity Morbid Edema Confusion Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Trismus Pain Back Pain Neck Pain Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Seizures Hypesthesia Paresthesia Vision Disorders Blindness Blindness Cortical Abdominal Pain Abdomen Acute Shoulder Pain Pain Postoperative Diarrhea Vomiting Dyspnea Ecchymosis Jaundice Purpura Purpura Schoenlein-Henoch Waterhouse-Friderichsen Syndrome Urinary Incontinence Stress 
Vaginosis Bacterial,Fever Body Weight Birth Weight Obesity Quadriplegia Abdominal Pain Abdomen Acute Diarrhea Nausea Pruritus 
Toxoplasmosis Cerebral,Fever Fever of Unknown Origin Athetosis Chorea Dystonia Tremor Agraphia Dyslexia Acquired Aphasia Aphasia Wernicke Dysarthria Confusion Delirium Consciousness Disorders Mental Retardation Hallucinations Psychomotor Disorders Muscle Weakness Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Quadriplegia Paresis Psychophysiologic Disorders Seizures Dizziness Hearing Loss High-Frequency Blindness Hemianopsia Vertigo Chest Pain Hiccup 
Central Nervous System Infections,Fever Fever of Unknown Origin Body Weight Hypergammaglobulinemia Hyperkinesis Psychomotor Agitation Learning Disorders Delirium Consciousness Disorders Pain Headache Paralysis Facial Paralysis Seizures Hearing Disorders Hearing Loss Vision Disorders Abdominal Pain Chest Pain 
Aneurysm Infected,Fever Fever of Unknown Origin Weight Loss Cardiac Output Low Edema Fatigue Intermittent Claudication Meningism Aphasia Aphasia Broca Unconsciousness Coma Syncope Muscle Weakness Pain Back Pain Low Back Pain Headache Hemiplegia Ophthalmoplegia Paraplegia Vocal Cord Paralysis Paresis Anisocoria Horner Syndrome Reflex Abnormal Vision Disorders Blindness Amaurosis Fugax Vision Low Hoarseness Abdominal Pain Abdomen Acute Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Constipation Diarrhea Hematemesis Hemoptysis Ecchymosis Purpura 
Arthritis Infectious,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Loss Emaciation Obesity Obesity Morbid Cyanosis Edema Eye Manifestations Fatigue Hypergammaglobulinemia Intermittent Claudication Neurologic Manifestations Ataxia Cerebellar Ataxia Gait Ataxia Chorea Torticollis Tremor Confusion Syncope Muscle Weakness Muscular Atrophy Trismus Pain Back Pain Low Back Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Facial Paralysis Hemiplegia Paraplegia Quadriplegia Reflex Abnormal Deafness Hearing Loss Sensorineural Hemianopsia Voice Disorders Abdominal Pain Arthralgia Shoulder Pain Angina Pectoris Earache Toothache Pain Postoperative Diarrhea Diarrhea Infantile Nausea Skin Manifestations Jaundice Pruritus Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Waterhouse-Friderichsen Syndrome 
Arthritis Reactive,Fever Fever of Unknown Origin Body Weight Weight Gain Weight Loss Edema Eye Manifestations Fatigue Neurologic Manifestations Chorea Muscle Cramp Pain Back Pain Low Back Pain Facial Pain Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Hyperesthesia Vision Disorders Oral Manifestations Abdominal Pain Arthralgia Chest Pain Diarrhea Diarrhea Infantile Halitosis Skin Manifestations Jaundice Purpura Purpura Thrombocytopenic Idiopathic Proteinuria 
Bone Diseases Infectious,Fever Fever of Unknown Origin Edema Gait Disorders Neurologic Pain Back Pain Low Back Pain Facial Paralysis Horner Syndrome Hearing Loss Conductive Pain Postoperative 
Osteitis,Fever Fever of Unknown Origin Body Weight Edema Eye Manifestations Neurologic Manifestations Muscle Weakness Trismus Pain Back Pain Low Back Pain Facial Pain Headache Neuralgia Paralysis Facial Paralysis Ophthalmoplegia Paraplegia Psychophysiologic Disorders Deafness Hearing Loss Sensorineural Hyperalgesia Hypesthesia Diplopia Abdominal Pain Abdomen Acute Arthralgia Shoulder Pain Chest Pain Pain Postoperative Pelvic Pain Diarrhea Purpura Urinary Incontinence Urinary Incontinence Stress 
Osteomyelitis,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Loss Emaciation Cachexia Obesity Morbid Edema Fatigue Heart Murmurs Hypergammaglobulinemia Intermittent Claudication Neurologic Manifestations Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Ataxia Gait Ataxia Torticollis Gait Disorders Neurologic Meningism Confusion Coma Persistent Vegetative State Mental Retardation Phantom Limb Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Trismus Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Pain Referred Paralysis Facial Paralysis Hemiplegia Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Hearing Loss Conductive Hearing Loss Sensorineural Tinnitus Hypesthesia Paresthesia Vision Disorders Blindness Diplopia Vertigo Abdominal Pain Abdomen Acute Arthralgia Shoulder Pain Chest Pain Angina Unstable Earache Toothache Pain Postoperative Pelvic Pain Constipation Diarrhea Halitosis Nausea Vomiting Hematemesis Anoxia Apnea Dyspnea Hemoptysis Respiratory Sounds Skin Manifestations Purpura Purpura Schoenlein-Henoch Proteinuria Albuminuria Urinary Incontinence Urinary Incontinence Stress 
Periostitis,Fever Fever of Unknown Origin Weight Loss Obesity Morbid Edema Eye Manifestations Hypergammaglobulinemia Pain Back Pain Headache Sciatica Paralysis Hemiplegia Paraplegia Reflex Abnormal Paresthesia Blindness Abdominal Pain Cough Skin Manifestations Urinary Incontinence Stress 
Spondylitis,Fever Fever of Unknown Origin Weight Loss Edema Intermittent Claudication Neurologic Manifestations Torticollis Myoclonus Psychomotor Disorders Muscle Spasticity Muscle Weakness Muscular Atrophy Spasm Pain Back Pain Low Back Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Hemiplegia Paraplegia Quadriplegia Vocal Cord Paralysis Paresis Paraparesis Psychophysiologic Disorders Reflex Abnormal Dizziness Hearing Disorders Deafness Hypesthesia Diplopia Hemianopsia Urinary Bladder Neurogenic Vertigo Oral Manifestations Abdominal Pain Arthralgia Shoulder Pain Angina Pectoris Anorexia Dyspnea Skin Manifestations Urinary Incontinence 
Catheter-Related Infections,Fever Fever of Unknown Origin Cardiac Output Low Edema Pain Paraplegia Pain Postoperative 
Communicable Diseases,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Gain Weight Loss Cachexia Obesity Thinness Chills Eye Manifestations Fatigue Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Ataxia Chorea Hyperkinesis Meningism Aphasia Delirium Coma Memory Disorders Mental Retardation Pain Headache Neuralgia Paralysis Psychophysiologic Disorders Seizures Hearing Disorders Deafness Hearing Loss Sensorineural Hearing Loss Noise-Induced Hearing Loss Sudden Blindness Sleep Disorders Oral Manifestations Abdomen Acute Arthralgia Chest Pain Anorexia Constipation Diarrhea Diarrhea Infantile Vomiting Anoxia Fetal Hypoxia Cough Hypercapnia Skin Manifestations Jaundice Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome Proteinuria Urinary Incontinence 
Communicable Diseases Emerging,Fever Fever of Unknown Origin Headache Hearing Loss Tinnitus Diarrhea Diarrhea Infantile Anoxia Cough Dyspnea Respiratory Sounds 
Community-Acquired Infections,Fever Body Weight Cardiac Output Low Fatigue Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Myoclonus Confusion Unconsciousness Pain Low Back Pain Headache Paraplegia Seizures Dizziness Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Hearing Loss Sudden Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Chest Pain Anorexia Constipation Diarrhea Hiccup Nausea Vomiting Anoxia Cough Dyspnea Hyperventilation Respiratory Sounds Urinary Incontinence 
Pneumonia Ventilator-Associated,Fever Birth Weight Consciousness Disorders Coma Vomiting Respiratory Aspiration 
Eye Infections,Fever Edema Pain Vision Disorders Blindness Pain Postoperative 
Endophthalmitis,Fever Fever of Unknown Origin Obesity Morbid Edema Eye Manifestations Eye Hemorrhage Eye Pain Heart Murmurs Mobility Limitation Neurologic Manifestations Unconsciousness Pain Back Pain Facial Paralysis Hemiplegia Ophthalmoplegia Pupil Disorders Miosis Deafness Hearing Loss Sensorineural Vision Disorders Amblyopia Blindness Diplopia Hemianopsia Photophobia Vision Low Abdominal Pain Abdomen Acute Pain Postoperative Pseudophakia Diarrhea Vomiting Cough Hemoptysis Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombotic Thrombocytopenic 
Focal Infection,Fever Fever of Unknown Origin Body Weight Tremor Coma Muscular Atrophy Headache Facial Paralysis Vocal Cord Paralysis Psychophysiologic Disorders Dizziness Hearing Disorders Deafness Blindness Vertigo Abdominal Pain Abdomen Acute Vomiting Hemoptysis Jaundice Pruritus Purpura 
Focal Infection Dental,Fever Fever of Unknown Origin Birth Weight Weight Loss Obesity Edema Eye Manifestations Muscle Weakness Trismus Pain Back Pain Facial Pain Neuralgia Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paresis Paresthesia Vision Disorders Blindness Diplopia Scotoma Sleep Deprivation Oral Hemorrhage Chest Pain Toothache Cough Dyspnea Skin Manifestations Ecchymosis Purpura Purpura Hyperglobulinemic Purpura Schoenlein-Henoch Purpura Thrombotic Thrombocytopenic 
Ludwig's Angina,Fever Edema Myoclonus Pain Neck Pain Vocal Cord Paralysis Chest Pain Toothache Dyspnea 
Opportunistic Infections,Fever Fever of Unknown Origin Body Weight Weight Gain Weight Loss Emaciation Thinness Edema Fatigue Hypergammaglobulinemia Ataxia Chorea Dystonia Aphasia Dysarthria Mental Retardation Muscle Weakness Pain Back Pain Low Back Pain Headache Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Vocal Cord Paralysis Paresis Psychophysiologic Disorders Seizures Dizziness Hearing Loss Unilateral Hypesthesia Vision Disorders Blindness Diplopia Vertigo Voice Disorders Hoarseness Abdominal Pain Abdomen Acute Colic Chest Pain Flank Pain Pelvic Pain Anorexia Diarrhea Diarrhea Infantile Dyspepsia Halitosis Nausea Vomiting Cough Dyspnea Hemoptysis Respiratory Sounds Jaundice Pruritus Purpura Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Proteinuria 
AIDS-Related Opportunistic Infections,Fever Fever of Unknown Origin Hypothermia Body Weight Weight Gain Weight Loss Cachexia Cardiac Output Low Chills Edema Fatigue Hypergammaglobulinemia Dyskinesias Ataxia Athetosis Chorea Psychomotor Agitation Tremor Gait Disorders Neurologic Language Disorders Aphasia Aphasia Wernicke Confusion Delirium Consciousness Disorders Coma Syncope Agnosia Hallucinations Muscle Rigidity Muscle Weakness Tetany Pain Low Back Pain Facial Pain Headache Neck Pain Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Pseudobulbar Palsy Vocal Cord Paralysis Paresis Horner Syndrome Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Tinnitus Hypesthesia Paresthesia Taste Disorders Vision Disorders Blindness Diplopia Hemianopsia Scotoma Sleep Disorders Urinary Bladder Neurogenic Vertigo Abdominal Pain Abdomen Acute Chest Pain Earache Pain Postoperative Diarrhea Encopresis Hiccup Nausea Vomiting Anoxia Cough Dyspnea Hemoptysis Respiratory Sounds Jaundice Pruritus Tinea Pedis Purpura Purpura Thrombotic Thrombocytopenic Proteinuria Urinary Incontinence 
Superinfection,Fever Fever of Unknown Origin Cachexia Fatigue Paralysis Paraparesis Spastic Deafness Blindness Abdominal Pain Abdomen Acute Constipation Diarrhea Hemoptysis Purpura 
Pelvic Infection,Fever Weight Loss Obesity Edema Hypergammaglobulinemia Spasm Pain Back Pain Low Back Pain Neuralgia Sciatica Psychophysiologic Disorders Hearing Loss Deafness Paresthesia Abdominal Pain Abdomen Acute Renal Colic Shoulder Pain Chest Pain Pelvic Pain Dysmenorrhea Anorexia Diarrhea Nausea Vomiting Anoxia Jaundice Pruritus Purpura Urinary Incontinence 
Pelvic Inflammatory Disease,Fever Obesity Hypergammaglobulinemia Spasm Pain Back Pain Low Back Pain Neuralgia Sciatica Psychophysiologic Disorders Hearing Loss Paresthesia Abdominal Pain Abdomen Acute Renal Colic Shoulder Pain Chest Pain Pelvic Pain Dysmenorrhea Anorexia Diarrhea Nausea Vomiting Anoxia Jaundice Pruritus Purpura Urinary Incontinence 
Abortion Septic,Fever Neurologic Manifestations Catatonia Delirium Coma Pain Sciatica Seizures Scotoma Abdominal Pain Abdomen Acute Diarrhea Jaundice Purpura Purpura Thrombotic Thrombocytopenic Oliguria Polyuria Hemoglobinuria 
Puerperal Infection,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Fetal Macrosomia Obesity Fetal Distress Delirium Unconsciousness Coma Mental Retardation Pain Back Pain Headache Quadriplegia Seizures Hearing Loss Blindness Abdominal Pain Abdomen Acute Diarrhea Anoxia Purpura Thrombocytopenic Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome 
Prosthesis-Related Infections,Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Obesity Morbid Cardiac Output Low Chills Edema Fatigue Intermittent Claudication Cerebrospinal Fluid Otorrhea Confusion Hallucinations Muscle Spasticity Pain Neuralgia Facial Paralysis Ophthalmoplegia Vocal Cord Paralysis Paraparesis Hearing Loss Deafness Hearing Loss Sensorineural Vision Disorders Urinary Bladder Neurogenic Voice Disorders Arthralgia Shoulder Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Pain Postoperative Constipation Diarrhea Purpura Urinary Incontinence Urinary Incontinence Stress 
Empyema Pleural,Fever Fever of Unknown Origin Weight Loss Cardiac Output Low Fatigue Back Pain Paralysis Respiratory Paralysis Horner Syndrome Chest Pain Anorexia Diarrhea Infantile Vomiting Anoxia Cough Dyspnea Hemoptysis Proteinuria 
Endotoxemia,Fever Hypothermia Body Weight Weight Gain Weight Loss Obesity Obesity Morbid Cardiac Output High Cardiac Output Low Chills Edema Edema Cardiac Coma Memory Disorders Muscle Weakness Pain Respiratory Paralysis Seizures Sleep Deprivation Abdomen Acute Anorexia Diarrhea Nausea Vomiting Anoxia Fetal Hypoxia Apnea Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypocapnia Jaundice Jaundice Obstructive Purpura Thrombotic Thrombocytopenic Polyuria 
Fungemia,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Cachexia Edema Muscle Weakness Headache Paralysis Paresis Vision Disorders Amaurosis Fugax Urinary Bladder Neurogenic Abdominal Pain Pain Postoperative Diarrhea Diarrhea Infantile Vomiting Hematemesis Hyperemesis Gravidarum Dyspnea Jaundice Purpura Thrombocytopenic Idiopathic 
