Threatened pregnancy,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Uterine contractions,Problems during pregnancy,Lower abdominal pain,Cramps and spasms,Back pain,Intermenstrual bleeding,Pelvic pain,Blood clots during menstrual periods,Vaginal discharge
Intracranial abscess,Seizures,Fever,Back pain,Headache,Low back pain,Depressive or psychotic symptoms,Leg pain,Fatigue,Neck pain,Sharp chest pain,Weakness,Slurring words
Gum disease,Toothache,Gum pain,Facial pain,Peripheral edema,Fever,Ear pain,Mouth ulcer,Mouth pain,Bleeding gums,Pain in gums,Lip swelling,Jaw swelling
Open wound from surgical incision,Skin lesion,Skin swelling,Recent pregnancy,Knee swelling,Flatulence,Skin on leg or foot looks infected,Heavy menstrual flow,Sneezing
Gastrointestinal hemorrhage,Blood in stool,Rectal bleeding,Sharp abdominal pain,Melena,Vomiting,Diarrhea,Vomiting blood,Changes in stool appearance,Weakness,Nausea,Dizziness,Fainting
Seborrheic dermatitis,Skin rash,Skin dryness;peeling;scaliness;or roughness,Abnormal appearing skin,Itching of skin,Irregular appearing scalp,Dry or flaky scalp,Itchy scalp,Acne or pimples,Skin lesion,Too little hair,Skin growth,Symptoms of the face
Drug abuse (methamphetamine),Drug abuse,Depressive or psychotic symptoms,Anxiety and nervousness,Depression,Shortness of breath,Delusions or hallucinations,Fears and phobias,Hostile behavior,Abusing alcohol,Palpitations,Feeling ill,Pain during pregnancy
Torticollis,Neck pain,Neck stiffness or tightness,Headache,Neck cramps or spasms,Shoulder pain,Back pain,Arm pain,Abnormal involuntary movements,Throat swelling,Cramps and spasms,Leg weakness,Shoulder lump or mass
Poisoning due to antihypertensives,Depressive or psychotic symptoms,Dizziness,Itching of skin,Skin rash,Weakness,Diarrhea,Nausea,Swollen tongue,Focal weakness,Sharp abdominal pain,Feeling hot,Allergic reaction
Tension headache,Headache,Neck pain,Nausea,Dizziness,Anxiety and nervousness,Chills,Neck stiffness or tightness,Painful menstruation,Painful sinuses,Symptoms of the face,Bleeding from ear,Back cramps or spasms
Alcohol intoxication,Abusing alcohol,Depressive or psychotic symptoms,Vomiting,Depression,Sharp abdominal pain,Sharp chest pain,Anxiety and nervousness,Nausea,Fainting,Abnormal involuntary movements,Delusions or hallucinations,Problems with movement
Scurvy,Sharp abdominal pain,Skin moles,Knee lump or mass,Excessive growth,Pelvic pressure,Vulvar sore,Loss of sex drive,Bedwetting,Neck cramps or spasms,Shoulder swelling,Eye strain,Joint stiffness or tightness
Narcolepsy,Sleepiness,Fatigue,Apnea,Headache,Abnormal involuntary movements,Shortness of breath,Abnormal breathing sounds,Insomnia,Weight gain,Temper problems,Disturbance of memory,Delusions or hallucinations
Food allergy,Allergic reaction,Skin rash,Itching of skin,Nasal congestion,Vomiting,Wheezing,Cough,Abnormal appearing skin,Lip swelling,Peripheral edema,Sneezing,Hand or finger swelling
Labyrinthitis,Dizziness,Nausea,Vomiting,Headache,Weakness,Ear pain,Loss of sensation,Diminished hearing,Ringing in ear,Plugged feeling in ear,Sweating,Spots or clouds in vision
Anxiety,Anxiety and nervousness,Depression,Sharp chest pain,Depressive or psychotic symptoms,Shortness of breath,Headache,Insomnia,Palpitations,Abnormal involuntary movements,Irregular heartbeat,Fears and phobias,Increased heart rate
Impulse control disorder,Depressive or psychotic symptoms,Anxiety and nervousness,Hostile behavior,Depression,Excessive anger,Temper problems,Insomnia,Obsessions and compulsions,Delusions or hallucinations,Excessive appetite,Antisocial behavior,Long menstrual periods
Stenosis of the tear duct,Lacrimation,Symptoms of eye,Eye redness,Nasal congestion,Cough,Abnormal movement of eyelid,Skin rash,Diaper rash,Decreased appetite,Eye burns or stings,Eyelid swelling,White discharge from eye
Abscess of nose,Nasal congestion,Cough,Fever,Coryza,Sore throat,Sinus congestion,Ear pain,Vomiting,Headache,Abnormal breathing sounds,Irritable infant,Decreased appetite
Omphalitis,Irregular belly button,Flatulence,Irritable infant,Diaper rash,Jaundice,Skin rash,Low back weakness,Back weakness,Emotional symptoms,Pus in sputum,Elbow cramps or spasms,Muscle swelling
Leukemia,Fatigue,Fever,Mouth pain,Pallor,Muscle stiffness or tightness,Symptoms of the kidneys,Bleeding gums
Bell palsy,Focal weakness,Loss of sensation,Symptoms of the face,Headache,Facial pain,Weakness,Peripheral edema,Symptoms of eye,Paresthesia,Diminished vision,Eyelid lesion or rash,Abnormal involuntary movements
Conjunctivitis due to allergy,Eye redness,Itchiness of eye,Pain in eye,Lacrimation,Nasal congestion,Swollen eye,Eye burns or stings,Symptoms of eye,Diminished vision,Allergic reaction,Cough,Sneezing
Drug reaction,Skin rash,Allergic reaction,Itching of skin,Dizziness,Peripheral edema,Lip swelling,Nausea,Shortness of breath,Headache,Vomiting,Abnormal appearing skin,Throat swelling
Adrenal cancer,Skin rash,Dizziness,Cough,Diaper rash,Sweating,Chills,Diminished hearing,Nosebleed
Myopia,Diminished vision,Spots or clouds in vision,Pain in eye,Symptoms of eye,Eye redness,Foreign body sensation in eye,Itchiness of eye,Lacrimation,Eye moves abnormally,Blindness,Eye deviation,Abnormal movement of eyelid
Osteoarthritis,Knee pain,Hip pain,Shoulder pain,Back pain,Leg pain,Hand or finger pain,Joint pain,Knee swelling,Ankle pain,Elbow pain,Muscle pain,Knee weakness
Thyroid disease,Neck mass,Difficulty in swallowing,Hot flashes,Neck swelling,Hostile behavior,Lump in throat,Too little hair,Drainage in throat,Double vision,Throat feels tight,Blindness,Restlessness
Pharyngitis,Cough,Fever,Sore throat,Wheezing,Difficulty in swallowing,Hoarse voice,Coryza,Hurts to breath,Sharp abdominal pain,Nausea,Ear pain,Nasal congestion
Chronic rheumatic fever,Shortness of breath,Sharp chest pain,Palpitations,Difficulty breathing,Dizziness,Chest tightness,Increased heart rate,Drainage in throat,Restlessness,Throat feels tight,Smoking problems,Fluid in ear
Hypocalcemia,Shortness of breath,Sharp abdominal pain,Loss of sensation,Seizures,Weakness,Paresthesia,Sharp chest pain,Constipation,Abnormal involuntary movements,Diarrhea,Nausea,Leg weakness
Macular degeneration,Diminished vision,Spots or clouds in vision,Symptoms of eye,Pain in eye,Lacrimation,Blindness,Itchiness of eye,Foreign body sensation in eye,Double vision,Eye burns or stings,Bleeding from eye,Abnormal movement of eyelid
Pneumonia,Cough,Fever,Shortness of breath,Sharp chest pain,Nasal congestion,Difficulty breathing,Vomiting,Weakness,Sore throat,Wheezing,Coryza,Chills
Cold sore,Skin rash,Lip sore,Mouth ulcer,Fever,Lip swelling,Skin lesion,Sore throat,Vaginal itching,Vaginal discharge,Itching of skin,Skin swelling,Peripheral edema
Premature ventricular contractions (PVCs),Palpitations,Irregular heartbeat,Sharp chest pain,Fainting,Shortness of breath,Increased heart rate,Difficulty breathing,Chest tightness,Sleepiness,Apnea,Impotence,Back cramps or spasms
Chancroid,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Testicular cancer,Mass in scrotum,Anxiety and nervousness,Ache all over,Nausea,Groin pain,Symptoms of the scrotum and testes,Skin on arm or hand looks infected,Blood in urine,Chills,Diminished hearing,Pain in testicles,Painful urination
Hydrocephalus,Headache,Seizures,Vomiting,Depressive or psychotic symptoms,Problems with movement,Difficulty speaking,Paresthesia,Focal weakness,Disturbance of memory,Abnormal involuntary movements,Arm stiffness or tightness,Lack of growth
Breast cancer,Lump or mass of breast,Pain or soreness of breast,Hot flashes,Bleeding or discharge from nipple,Joint stiffness or tightness
Anemia due to malignancy,Fatigue,Shortness of breath,Difficulty in swallowing,Pain of the anus,Nosebleed,Vaginal pain,Mouth pain,Hot flashes,Flatulence
Esophageal varices,Burning abdominal pain,Nausea,Changes in stool appearance,Dizziness,Weakness,Lower abdominal pain,Sharp abdominal pain,Difficulty in swallowing,Melena,Itching of skin,Pain of the anus,Decreased appetite
Endometrial cancer,Vaginal bleeding after menopause,Intermenstrual bleeding,Pelvic pain,Hot flashes,Long menstrual periods,Vaginal discharge,Vaginal itching,Cramps and spasms,Unpredictable menstruation,Infrequent menstruation,Mass on vulva,Absence of menstruation
Cystic Fibrosis,Cough,Feeling ill,Decreased appetite,Intermenstrual bleeding,Hemoptysis,Bleeding gums,Spots or clouds in vision,Sinus congestion,Drainage in throat,Muscle pain
Intertrigo (skin condition),Skin rash,Abnormal appearing skin,Skin dryness;peeling;scaliness;or roughness,Skin swelling,Skin irritation,Neck pain,Skin lesion,Itching of skin,Acne or pimples,Skin growth,Foot or toe swelling,Skin moles
Parathyroid adenoma,Shoulder pain,Weakness,Anxiety and nervousness,Disturbance of memory,Fluid retention,Flu-like syndrome,Throat feels tight,Weight gain,Symptoms of the kidneys,Tongue lesions,Difficulty in swallowing,Flatulence
Glucocorticoid deficiency,Shortness of breath,Weakness,Diarrhea,Problems with movement,Side pain,Lack of growth,Symptoms of the kidneys,Muscle cramps;contractures;or spasms,Drug abuse,Rib pain,Feeling ill,Apnea
Temporomandibular joint disorder,Facial pain,Ear pain,Headache,Neck pain,Nasal congestion,Sore throat,Toothache,Ringing in ear,Diminished hearing,Pain in eye,Jaw pain,Redness in ear
Wilson disease,Sleepiness,Diminished vision,Fatigue,Abnormal breathing sounds,Insomnia,Cough,Apnea,Problems with movement,Fainting,Difficulty in swallowing,Weakness,Difficulty eating
Vesicoureteral reflux,Suprapubic pain,Fever,Blood in urine,Constipation,Symptoms of the kidneys,Involuntary urination,Fluid in ear,Regurgitation
Vitamin A deficiency,Fatigue,Hand or finger pain,Knee lump or mass,Eye strain,Excessive growth,Pelvic pressure,Bedwetting,Vulvar sore,Loss of sex drive,Neck cramps or spasms,Joint stiffness or tightness,Shoulder swelling
Gonorrhea,Penile discharge,Sharp abdominal pain,Vaginal discharge,Vaginal itching,Painful urination,Penis redness,Problems with movement,Paresthesia,Itching of skin,Vaginal pain,Spotting or bleeding during pregnancy,Cramps and spasms
Fracture of the rib,Rib pain,Sharp chest pain,Back pain,Side pain,Shoulder pain,Ache all over,Arm pain,Shortness of breath,Hurts to breath,Hip pain,Bones are painful,Back mass or lump
Ependymoma,Diminished vision,Pain in eye,Headache,Eyelid swelling,Symptoms of eye,Abnormal appearing skin,Eye redness,Emotional symptoms,Elbow cramps or spasms,Pus in sputum,Elbow weakness,Muscle swelling
Hepatitis due to a toxin,Sharp abdominal pain,Nausea,Diarrhea,Vomiting,Depression,Fatigue,Jaundice,Itching of skin,Feeling ill,Upper abdominal pain,Flu-like syndrome,Rectal bleeding
Vaginal cyst,Sharp abdominal pain,Spotting or bleeding during pregnancy,Pelvic pain,Vaginal pain,Lower abdominal pain,Vaginal discharge,Cramps and spasms,Intermenstrual bleeding,Blood clots during menstrual periods,Pain during pregnancy,Heavy menstrual flow,Problems during pregnancy
Open wound of the shoulder,Shoulder pain,Arm pain,Shoulder stiffness or tightness,Arm swelling,Abusing alcohol,Elbow pain,Wrist pain
Ectopic pregnancy,Sharp abdominal pain,Pain during pregnancy,Spotting or bleeding during pregnancy,Lower abdominal pain,Pelvic pain,Nausea,Dizziness,Cramps and spasms,Intermenstrual bleeding,Burning abdominal pain,Vaginal discharge,Problems during pregnancy
Chronic knee pain,Knee pain,Leg pain,Knee swelling,Back pain,Hip pain,Leg swelling,Knee stiffness or tightness,Joint pain,Knee weakness
Pinguecula,Symptoms of eye,Lacrimation,Double vision,Headache,Spots or clouds in vision,Sleepiness,Paresthesia,Pain in eye,Apnea,Diminished vision,Abnormal breathing sounds,Itching of scrotum
Hypergammaglobulinemia,Fatigue,Hip stiffness or tightness,Blood in stool,Knee stiffness or tightness
Alcohol abuse,Abusing alcohol,Depressive or psychotic symptoms,Drug abuse,Depression,Anxiety and nervousness,Hostile behavior,Delusions or hallucinations,Excessive anger,Vomiting blood,Smoking problems,Slurring words,Low self-esteem
Carpal tunnel syndrome,Loss of sensation,Hand or finger pain,Wrist pain,Paresthesia,Arm pain,Neck pain,Hand or finger weakness,Elbow pain,Hand or finger stiffness or tightness,Hand or finger swelling,Arm weakness,Wrist swelling
Pituitary disorder,Headache,Lack of growth,Pain in eye,Sleepiness,Bleeding or discharge from nipple,Mouth pain,Acne or pimples,Hot flashes,Fluid retention,Postpartum problems of the breast,Infertility,Weight gain
Kidney stone,Side pain,Sharp abdominal pain,Back pain,Vomiting,Nausea,Blood in urine,Lower abdominal pain,Low back pain,Painful urination,Frequent urination,Retention of urine,Suprapubic pain
Autism,Seizures,Depressive or psychotic symptoms,Hostile behavior,Lack of growth,Constipation,Temper problems,Antisocial behavior,Difficulty speaking,Restlessness,Obsessions and compulsions,Long menstrual periods,Eyelid retracted
Cat scratch disease,Neck swelling,Skin swelling,Groin mass,Skin rash,Loss of sensation,Arm swelling,Skin lesion,Headache,Fever,Swollen eye,Arm lump or mass,Itchy eyelid
Chronic glaucoma,Diminished vision,Pain in eye,Symptoms of eye,Spots or clouds in vision,Lacrimation,Foreign body sensation in eye,Blindness,Itchiness of eye,Eye burns or stings,White discharge from eye,Double vision,Mass on eyelid
Retinal detachment,Spots or clouds in vision,Diminished vision,Blindness,Symptoms of eye,Pain in eye,Itchiness of eye,Eye burns or stings,Lacrimation,Cloudy eye,Abnormal movement of eyelid,Bleeding from eye,Double vision
Aplastic anemia,Fatigue,Fever,Weakness,Nausea,Slurring words,Feeling cold,Lack of growth,Hot flashes,Mouth dryness,Vomiting blood,Fluid retention,Leg weakness
Overflow incontinence,Retention of urine,Involuntary urination,Symptoms of bladder,Frequent urination,Suprapubic pain,Blood in urine,Excessive urination at night,Impotence,Symptoms of prostate,Hand or finger stiffness or tightness,Focal weakness,Hesitancy
Rabies,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Hemolytic anemia,Fatigue,Cough,Nausea,Weakness,Fever,Peripheral edema,Allergic reaction,Itching of skin,Joint pain,Skin growth,Swollen abdomen,Stomach bloating
Lateral epicondylitis (tennis elbow),Elbow pain,Arm pain,Shoulder pain,Loss of sensation,Wrist pain,Hand or finger pain,Paresthesia,Elbow lump or mass,Elbow swelling,Joint pain,Irregular belly button,Hand or finger stiffness or tightness
Open wound of the eye,Pain in eye,Diminished vision,Symptoms of eye,Spots or clouds in vision,Swollen eye,Foreign body sensation in eye,Bleeding from eye,Itchiness of eye,Knee weakness,White discharge from eye,Blindness
Syphilis,Skin rash,Headache,Vaginal discharge,Foot or toe swelling,Itching of skin,Arm lump or mass,Problems during pregnancy,Muscle pain,Congestion in chest,Disturbance of memory,Muscle weakness,Increased heart rate
Diabetic kidney disease,Leg swelling,Impotence,Hurts to breath,Lack of growth,Thirst,Delusions or hallucinations,Irregular appearing nails,Symptoms of the kidneys,Leg cramps or spasms,Heartburn,Blood in stool,Excessive anger
Nose disorder,Nasal congestion,Cough,Fever,Sore throat,Headache,Coryza,Ear pain,Difficulty breathing,Painful sinuses,Facial pain,Sinus congestion,Nosebleed
Drug withdrawal,Vomiting,Nausea,Antisocial behavior,Anxiety and nervousness,Chills,Diarrhea,Sharp abdominal pain,Depression,Ache all over,Seizures,Abnormal involuntary movements,Dizziness
Dental caries,Toothache,Gum pain,Facial pain,Peripheral edema,Ear pain,Mouth pain,Jaw swelling,Skin swelling,Pain in gums,Neck swelling,Skin irritation,Restlessness
Hypercholesterolemia,Sharp chest pain,Palpitations,Weight gain,Excessive urination at night,Hand or finger stiffness or tightness
Fracture of the patella,Knee pain,Leg pain,Knee swelling,Ankle pain,Hip pain,Leg swelling,Leg weakness,Melena,Bones are painful,Back cramps or spasms,Knee weakness
Kidney failure,Shortness of breath,Nausea,Weakness,Sharp chest pain,Vomiting,Symptoms of the kidneys,Arm swelling,Leg swelling,Muscle cramps;contractures;or spasms,Swollen abdomen,Leg weakness,Lymphedema
Fracture of the neck,Hip pain,Low back pain,Leg pain,Groin pain,Side pain,Elbow pain,Lower body pain,Symptoms of bladder,Low self-esteem,Regurgitation
Muscle spasm,Neck pain,Back pain,Shoulder pain,Leg pain,Headache,Leg cramps or spasms,Low back pain,Muscle cramps;contractures;or spasms,Arm pain,Sharp chest pain,Loss of sensation,Abnormal involuntary movements
Hemophilia,Leg pain,Cough,Headache,Bleeding gums,Frontal headache,Melena,Uterine contractions,Nosebleed,Groin pain,Hemoptysis,Absence of menstruation,Skin on arm or hand looks infected
Hyperosmotic hyperketotic state,Weakness,Thirst,Frequent urination,Cough,Sharp abdominal pain,Fainting,Burning chest pain,Mouth ulcer,Neck pain,Pain during intercourse,Mouth dryness,Diminished vision
Peritonsillar abscess,Sore throat,Difficulty in swallowing,Swollen or red tonsils,Fever,Ear pain,Throat feels tight,Headache,Chills,Neck swelling,Throat swelling,Swollen lymph nodes,Throat redness
Gastroparesis,Vomiting,Nausea,Sharp abdominal pain,Regurgitation,Sharp chest pain,Diarrhea,Fatigue,Burning abdominal pain,Heartburn,Loss of sensation,Constipation,Upper abdominal pain
Itching of unknown cause,Itching of skin,Skin rash,Allergic reaction,Abnormal appearing skin,Skin dryness;peeling;scaliness;or roughness,Itchy scalp,Vaginal itching,Paresthesia,Skin irritation,Problems during pregnancy,Fluid retention,Sneezing
Fat embolism,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Polycythemia vera,Fatigue,Skin lesion,Dizziness,Headache,Symptoms of eye,Itching of skin,Joint pain,Regurgitation,Weight gain,Difficulty eating,Spots or clouds in vision,Joint swelling
Thrombocytopenia,Sharp chest pain,Fatigue,Blood in urine,Nosebleed,Blood in stool,Bleeding gums,Tongue lesions,Eyelid swelling,Mouth pain,Irregular belly button,Lymphedema,Irregular appearing scalp
Head and neck cancer,Sore throat,Difficulty in swallowing,Mouth pain,Throat feels tight,Facial pain,Hoarse voice,Neck mass,Plugged feeling in ear,Tongue lesions,Hemoptysis,Tongue pain,Bleeding in mouth
Pseudohypoparathyroidism,Knee pain,Foot or toe pain,Wrist pain,Low back pain,Hip pain,Leg pain,Joint pain,Ankle pain,Skin lesion,Wrist swelling,Leg swelling,Elbow weakness
Goiter,Fatigue,Weight gain,Neck mass,Difficulty in swallowing,Neck swelling,Lump in throat,Heartburn,Hot flashes,Leg weakness,Feeling hot and cold,Arm weakness,Bones are painful
Urge incontinence,Frequent urination,Involuntary urination,Symptoms of bladder,Retention of urine,Suprapubic pain,Painful urination,Back pain,Blood in urine,Excessive urination at night,Constipation,Vaginal itching,Symptoms of prostate
Edward syndrome,Fever,Suprapubic pain,Knee lump or mass,Excessive growth,Vulvar sore,Shoulder swelling,Wrist weakness,Nailbiting,Itchy eyelid,Cross-eyed,Eye strain,Joint stiffness or tightness
Open wound of the arm,Arm pain,Elbow pain,Redness in or around nose,Elbow lump or mass,Hand or finger weakness,Elbow swelling,Knee weakness
Muscular dystrophy,Fatigue,Headache,Muscle weakness,Cough,Weakness,Nasal congestion,Loss of sensation,Double vision,Hand or finger pain,Problems with movement,Hip pain,Feeling cold
Mittelschmerz,Sharp abdominal pain,Lower abdominal pain,Pelvic pain,Painful menstruation,Vomiting,Side pain,Long menstrual periods,Fever,Diarrhea,Acne or pimples,Burning abdominal pain,Involuntary urination
Corneal abrasion,Pain in eye,Eye redness,Symptoms of eye,Swollen eye,Diminished vision,Lacrimation,Foreign body sensation in eye,Eye burns or stings,Itchiness of eye,Eyelid swelling,Eyelid lesion or rash,White discharge from eye
Anemia of chronic disease,Weakness,Diarrhea,Fatigue,Dizziness,Vomiting,Weight gain,Chills,Itching of skin,Feeling ill,Coryza,Low back weakness,Emotional symptoms
Dysthymic disorder,Depression,Anxiety and nervousness,Depressive or psychotic symptoms,Insomnia,Excessive anger,Low self-esteem,Disturbance of memory,Temper problems,Fears and phobias,Slurring words,Loss of sex drive,Antisocial behavior
Scarlet fever,Skin rash,Fever,Sore throat,Cough,Coryza,Skin swelling,Groin pain,Penis pain,Throat swelling,Difficulty in swallowing,Sinus congestion,Mouth pain
Hypertensive heart disease,Palpitations,Shortness of breath,Sharp chest pain,Difficulty breathing,Weakness,Fatigue,Chest tightness,Insomnia,Heartburn,Leg swelling,Fluid retention,Recent pregnancy
Drug abuse (barbiturates),Drug abuse,Abusing alcohol,Anxiety and nervousness,Depression,Depressive or psychotic symptoms,Abnormal involuntary movements,Delusions or hallucinations,Slurring words,Excessive anger,Hostile behavior
Polycystic ovarian syndrome (PCOS),Infertility,Unpredictable menstruation,Weight gain,Pelvic pain,Absence of menstruation,Heavy menstrual flow,Intermenstrual bleeding,Long menstrual periods,Painful menstruation,Cramps and spasms,Hot flashes,Acne or pimples
Encephalitis,Headache,Loss of sensation,Seizures,Dizziness,Leg pain,Fatigue,Disturbance of memory,Problems with movement,Paresthesia,Insomnia,Joint pain,Leg weakness
Cyst of the eyelid,Mass on eyelid,Skin growth,Eyelid lesion or rash,Pain in eye,Symptoms of eye,Diminished vision,Wrinkles on skin,Itchiness of eye,Abnormal movement of eyelid,Skin rash,Muscle swelling,Elbow cramps or spasms
Balanitis,Penis redness,Penis pain,Diaper rash,Skin rash,Abnormal appearing skin,Fever,Painful urination,Cough,Suprapubic pain,Penile discharge,Skin lesion,Itching of skin
Foreign body in the throat,Difficulty in swallowing,Vomiting,Sore throat,Cough,Shortness of breath,Difficulty breathing,Infant spitting up,Paresthesia,Coughing up sputum,Throat swelling,Infant feeding problem,Lymphedema
Drug abuse (cocaine),Drug abuse,Abusing alcohol,Depressive or psychotic symptoms,Depression,Sharp chest pain,Delusions or hallucinations,Hostile behavior,Excessive anger,Fears and phobias,Nightmares,Hysterical behavior
Optic neuritis,Diminished vision,Blindness,Headache,Spots or clouds in vision,Pain in eye,Fatigue,Symptoms of eye,Retention of urine,Eyelid swelling
Alcohol withdrawal,Abusing alcohol,Seizures,Abnormal involuntary movements,Nausea,Depressive or psychotic symptoms,Vomiting,Dizziness,Weakness,Sharp chest pain,Antisocial behavior,Delusions or hallucinations,Fainting
Premature atrial contractions (PACs),Palpitations,Irregular heartbeat,Sharp chest pain,Shortness of breath,Chest tightness,Dizziness,Fatigue,Frequent urination,Fainting,Increased heart rate,Muscle swelling,Pus in urine
Hemiplegia,Seizures,Headache,Weakness,Focal weakness,Loss of sensation,Problems with movement,Abnormal involuntary movements,Slurring words,Cramps and spasms,Difficulty speaking,Arm weakness,Arm stiffness or tightness
Hammer toe,Foot or toe pain,Loss of sensation,Skin lesion,Foot or toe swelling,Irregular appearing nails,Problems with movement,Skin growth
Open wound of the cheek,Facial pain,Wrist pain,Fluid retention,Jaw swelling
Joint effusion,Knee pain,Knee swelling,Ankle pain,Ankle swelling,Elbow pain,Wrist pain,Elbow swelling,Leg swelling,Foot or toe swelling,Knee stiffness or tightness,Wrist swelling,Problems with movement
Open wound of the knee,Leg pain,Leg swelling,Skin on leg or foot looks infected
Meningioma,Headache,Disturbance of memory,Weakness,Seizures,Difficulty speaking,Depressive or psychotic symptoms,Facial pain,Diminished hearing,Diminished vision,Focal weakness,Dizziness,Nausea
Brain cancer,Headache,Seizures,Weakness,Focal weakness,Decreased appetite,Disturbance of memory,Slurring words,Difficulty speaking,Arm weakness,Blindness,Stomach bloating,Leg weakness
Placental abruption,Spotting or bleeding during pregnancy,Uterine contractions,Nausea,Lower abdominal pain,Cramps and spasms,Problems during pregnancy,Cross-eyed,Itchy eyelid,Excessive growth,Emotional symptoms,Elbow cramps or spasms,Wrist weakness
Seasonal allergies (hay fever),Nasal congestion,Cough,Allergic reaction,Sore throat,Headache,Ear pain,Sneezing,Coryza,Itchiness of eye,Frontal headache,Lacrimation,Painful sinuses
Lung cancer,Shortness of breath,Cough,Fatigue,Decreased appetite,Hemoptysis,Drainage in throat,Leg weakness,Smoking problems
Primary kidney disease,Peripheral edema,Symptoms of the kidneys,Blood in urine,Impotence,Thirst,Swelling of scrotum,Melena,Irregular appearing nails,Leg stiffness or tightness,Leg cramps or spasms,Lack of growth
Uterine cancer,Vaginal bleeding after menopause,Pelvic pain,Hot flashes,Focal weakness,Heavy menstrual flow,Cramps and spasms,Tongue lesions,Muscle pain,Intermenstrual bleeding,Gum pain,Unpredictable menstruation,Groin mass
Dry eye of unknown cause,Symptoms of eye,Diminished vision,Pain in eye,Lacrimation,Itchiness of eye,Eye redness,Eye burns or stings,Foreign body sensation in eye,Spots or clouds in vision,White discharge from eye,Abnormal movement of eyelid,Double vision
Fibrocystic breast disease,Lump or mass of breast,Pain or soreness of breast,Bleeding or discharge from nipple,Long menstrual periods,Leg cramps or spasms,Absence of menstruation,Intermenstrual bleeding,Skin irritation,Frequent menstruation
Fungal infection of the hair,Skin rash,Skin swelling,Skin lesion,Abnormal appearing skin,Itching of skin,Acne or pimples,Irregular appearing scalp,Skin irritation,Skin growth,Itchy scalp,Skin dryness;peeling;scaliness;or roughness,Pelvic pain
Tooth abscess,Toothache,Peripheral edema,Facial pain,Jaw swelling,Gum pain,Mouth pain,Skin swelling,Fluid retention,Pain in gums,Lip swelling,Neck swelling,Symptoms of the face
Leptospirosis,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Envenomation from spider or animal bite,Allergic reaction,Skin rash,Itching of skin,Hand or finger swelling,Abnormal appearing skin,Fluid retention,Foot or toe swelling,Arm swelling,Leg swelling,Peripheral edema,Skin swelling,Paresthesia
VACTERL syndrome,Lower abdominal pain,Regurgitation,Suprapubic pain,Excessive growth,Cross-eyed,Elbow weakness,Wrist weakness,Emotional symptoms,Feeling hot and cold,Bowlegged or knock-kneed,Elbow cramps or spasms,Nailbiting
Vertebrobasilar insufficiency,Dizziness,Problems with movement,Weakness,Back pain,Headache,Leg pain,Arm pain,Sweating,Foot or toe weakness,Paresthesia,Vomiting,Sharp chest pain
Rectal disorder,Rectal bleeding,Blood in stool,Pain of the anus,Sharp abdominal pain,Diarrhea,Constipation,Burning abdominal pain,Melena,Itching of the anus,Heartburn,Changes in stool appearance,Cramps and spasms
Atonic bladder,Symptoms of bladder,Retention of urine,Involuntary urination,Impotence,Frequent urination,Suprapubic pain,Blood in urine,Symptoms of prostate,Emotional symptoms,Elbow cramps or spasms,Wrist weakness,Back weakness
Benign paroxysmal positional vertical (BPPV),Dizziness,Nausea,Vomiting,Headache,Problems with movement,Weakness,Ringing in ear,Fainting,Irregular heartbeat,Diminished hearing,Feeling ill,Frontal headache
Blepharospasm,Abnormal movement of eyelid,Diminished vision,Eye moves abnormally,Leg weakness,Pain during intercourse,Eyelid lesion or rash,Arm weakness,Headache,Muscle cramps;contractures;or spasms,Cramps and spasms,Blindness,Low back weakness
Sarcoidosis,Cough,Shortness of breath,Fatigue,Sharp chest pain,Headache,Peripheral edema,Pain in eye,Wheezing,Chest tightness,Paresthesia,Muscle pain,Facial pain
Metastatic cancer,Fatigue,Decreased appetite,Focal weakness,Neck mass,Stomach bloating,Leg cramps or spasms,Unusual color or odor to urine,Vaginal dryness
Trigger finger (finger disorder),Hand or finger pain,Hand or finger stiffness or tightness,Wrist pain,Hand or finger cramps or spasms,Hand or finger swelling,Paresthesia,Shoulder stiffness or tightness,Bones are painful,Bleeding from ear,Muscle stiffness or tightness,Back stiffness or tightness,Skin on arm or hand looks infected
Stye,Pain in eye,Swollen eye,Eye redness,Eyelid swelling,Symptoms of eye,Mass on eyelid,Itchiness of eye,Eyelid lesion or rash,Abnormal appearing skin,Eye burns or stings,Skin swelling,Lacrimation
